Datetime,Open,High,Low,Close,Adj Close,Volume
2021-12-10 00:00:00+00:00,3603971.5,3632414.75,3598359.25,3617741.0,3617741.0,15927869440
2021-12-10 00:15:00+00:00,3627275.5,3631634.0,3623674.75,3625671.5,3625671.5,8987082752
2021-12-10 00:30:00+00:00,3633876.75,3681814.5,3633876.75,3646486.5,3646486.5,44345851904
2021-12-10 00:45:00+00:00,3647245.0,3650595.0,3632880.75,3635946.75,3635946.75,10759962624
2021-12-10 01:00:00+00:00,3631762.75,3646415.25,3618451.25,3646415.25,3646415.25,14932508672
2021-12-10 01:15:00+00:00,3644809.0,3667889.5,3642842.0,3666010.5,3666010.5,18132762624
2021-12-10 01:30:00+00:00,3668566.25,3669861.75,3661032.0,3669861.75,3669861.75,9254993920
2021-12-10 01:45:00+00:00,3668012.25,3673242.25,3662686.75,3667134.75,3667134.75,4308860928
2021-12-10 02:00:00+00:00,3665684.5,3670847.25,3658297.5,3666467.25,3666467.25,3774087168
2021-12-10 02:15:00+00:00,3671954.5,3680995.75,3667465.0,3674730.0,3674730.0,7720927232
2021-12-10 02:30:00+00:00,3673422.25,3679826.25,3668066.5,3679822.5,3679822.5,6021447680
2021-12-10 02:45:00+00:00,3680036.5,3680683.75,3668252.0,3672334.0,3672334.0,2039742464
2021-12-10 03:00:00+00:00,3673443.5,3673597.0,3663057.25,3663974.75,3663974.75,118489088
2021-12-10 03:15:00+00:00,3669206.5,3669206.5,3658609.5,3658609.5,3658609.5,2807300096
2021-12-10 03:30:00+00:00,3664432.0,3664432.0,3653536.75,3653536.75,3653536.75,591396864
2021-12-10 03:45:00+00:00,3657392.5,3667797.25,3652917.5,3667797.25,3667797.25,2882797568
2021-12-10 04:00:00+00:00,3664084.5,3667310.25,3653229.0,3659676.25,3659676.25,4258529280
2021-12-10 04:15:00+00:00,3664282.5,3672926.0,3663078.0,3670004.75,3670004.75,7402946560
2021-12-10 04:30:00+00:00,3668636.25,3673040.75,3657490.75,3657490.75,3657490.75,978321408
2021-12-10 04:45:00+00:00,3658722.5,3663701.5,3652743.0,3652954.0,3652954.0,4682153984
2021-12-10 05:00:00+00:00,3648365.75,3656629.25,3645546.0,3656629.25,3656629.25,5154537472
2021-12-10 05:15:00+00:00,3652507.5,3658975.0,3645627.0,3646197.75,3646197.75,4779933696
2021-12-10 05:30:00+00:00,3648453.75,3651684.5,3642210.0,3646641.0,3646641.0,3591372800
2021-12-10 05:45:00+00:00,3643473.25,3651066.25,3643473.25,3648714.0,3648714.0,3085172736
2021-12-10 06:00:00+00:00,3650014.5,3659724.0,3648166.5,3656040.5,3656040.5,5532811264
2021-12-10 06:15:00+00:00,3656271.75,3664786.5,3652644.75,3652644.75,3652644.75,5678825472
2021-12-10 06:30:00+00:00,3651201.0,3659915.25,3646819.0,3659915.25,3659915.25,7627603968
2021-12-10 06:45:00+00:00,3660050.75,3662929.75,3631689.5,3631689.5,3631689.5,3945005056
2021-12-10 07:00:00+00:00,3632596.25,3633463.75,3621245.0,3625423.5,3625423.5,6746013696
2021-12-10 07:15:00+00:00,3629691.0,3637058.25,3623759.75,3635600.25,3635600.25,13185056768
2021-12-10 07:30:00+00:00,3639335.75,3643175.0,3632490.5,3635484.5,3635484.5,3269197824
2021-12-10 07:45:00+00:00,3634699.0,3635596.25,3611135.0,3611135.0,3611135.0,3380609024
2021-12-10 08:00:00+00:00,3615105.25,3627673.25,3615105.25,3621702.5,3621702.5,7020740608
2021-12-10 08:15:00+00:00,3623264.75,3631521.25,3623264.75,3631521.25,3631521.25,2893545472
2021-12-10 08:23:53+00:00,3635755.75,3635755.75,3635755.75,3635755.75,3635755.75,0
